U+0023	hash_sign
U+002A	asterisk
U+00A9	copyright
U+00AE	registered
U+203C	double_exclamation_mark
U+2049	exclamation_question_mark
U+2122	trade_mark
U+2139	information
U+2194	left_right_arrow
U+2195	up_down_arrow
U+2196	up_left_arrow
U+2197	up_right_arrow
U+2198	down_right_arrow
U+2199	down_left_arrow
U+21A9	right_arrow_curving_left
U+21AA	left_arrow_curving_right
U+231A	watch
U+231B	hourglass_done
U+2328	keyboard
U+23CF	eject_button
U+23E9	fast_forward_button
U+23EA	fast_reverse_button
U+23EB	fast_up_button
U+23EC	fast_down_button
U+23ED	next_track_button
U+23EE	last_track_button
U+23EF	play_or_pause_button
U+23F0	alarm_clock
U+23F1	stopwatch
U+23F2	timer_clock
U+23F3	hourglass_not_done
U+23F8	pause_button
U+23F9	stop_button
U+23FA	record_button
U+24C2	circled_m
U+25AA	black_small_square
U+25AB	white_small_square
U+25B6	play_button
U+25C0	reverse_button
U+25FB	white_medium_square
U+25FC	black_medium_square
U+25FD	white_medium_small_square
U+25FE	black_medium_small_square
U+2602	umbrella
U+2603	snowman
U+2604	comet
U+260E	telephone
U+2611	check_box_with_check
U+2614	umbrella_with_rain_drops
U+2615	hot_beverage
U+2618	shamrock
U+261D	index_pointing_up
U+2620	skull_and_crossbones
U+2622	radioactive
U+2623	biohazard
U+2626	orthodox_cross
U+262A	star_and_crescent
U+262E	peace_symbol
U+262F	yin_yang
U+2638	wheel_of_dharma
U+2639	frowning_face
U+263A	smiling_face
U+2640	female_sign
U+2642	male_sign
U+2648	aries
U+2649	taurus
U+264A	gemini
U+264B	cancer
U+264C	leo
U+264D	virgo
U+264E	libra
U+264F	scorpio
U+2650	sagittarius
U+2651	capricorn
U+2652	aquarius
U+2653	pisces
U+265F	chess_pawn
U+2660	spade_suit
U+2663	club_suit
U+2665	heart_suit
U+2666	diamond_suit
U+2668	hot_springs
U+267B	recycling_symbol
U+267E	infinity
U+267F	wheelchair_symbol
U+2692	hammer_and_pick
U+2693	anchor
U+2694	crossed_swords
U+2695	medical_symbol
U+2696	balance_scale
U+2697	alembic
U+2699	gear
U+269B	atom_symbol
U+269C	fleur_de_lis
U+26A0	warning
U+26A1	high_voltage
U+26A7	transgender_symbol
U+26AA	white_circle
U+26AB	black_circle
U+26B0	coffin
U+26B1	funeral_urn
U+26BD	soccer_ball
U+26BE	baseball
U+26C4	snowman_without_snow
U+26CE	ophiuchus
U+26CF	pick
U+26D1	rescue_workers_helmet
U+26D3	chains
U+26D4	no_entry
U+26E9	shinto_shrine
U+26EA	church
U+26F0	mountain
U+26F1	umbrella_on_ground
U+26F2	fountain
U+26F3	flag_in_hole
U+26F4	ferry
U+26F5	sailboat
U+26F7	skier
U+26F8	ice_skate
U+26F9	person_bouncing_ball
U+26FA	tent
U+26FD	fuel_pump
U+2702	scissors
U+2705	check_mark_button
U+2708	airplane
U+270A	raised_fist
U+270B	raised_hand
U+270C	victory_hand
U+270D	writing_hand
U+270F	pencil
U+2712	black_nib
U+2714	check_mark
U+2716	multiply
U+271D	latin_cross
U+2721	star_of_david
U+2733	eight_spoked_asterisk
U+2734	eight_pointed_star
U+2747	sparkle
U+274C	cross_mark
U+274E	cross_mark_button
U+2753	red_question_mark
U+2754	white_question_mark
U+2755	white_exclamation_mark
U+2757	red_exclamation_mark
U+2763	heart_exclamation
U+2795	plus
U+2796	minus
U+2797	divide
U+27A1	right_arrow
U+27B0	curly_loop
U+27BF	double_curly_loop
U+2934	right_arrow_curving_up
U+2935	right_arrow_curving_down
U+2B05	left_arrow
U+2B06	up_arrow
U+2B07	down_arrow
U+2B1B	black_large_square
U+2B1C	white_large_square
U+2B55	hollow_red_circle
U+3030	wavy_dash
U+303D	part_alternation_mark
U+3297	japanese_congratulations_button
U+3299	japanese_secret_button
U+1F004	mahjong_red_dragon
U+1F0CF	joker
U+1F170	a_button_blood_type
U+1F171	b_button_blood_type
U+1F17E	o_button_blood_type
U+1F17F	p_button
U+1F18E	ab_button_blood_type
U+1F191	cl_button
U+1F192	cool_button
U+1F193	free_button
U+1F194	id_button
U+1F195	new_button
U+1F196	ng_button
U+1F197	ok_button
U+1F198	sos_button
U+1F199	up_button
U+1F19A	vs_button
U+1F201	japanese_here_button
U+1F202	japanese_service_charge_button
U+1F21A	japanese_free_of_charge_button
U+1F22F	japanese_reserved_button
U+1F232	japanese_prohibited_button
U+1F233	japanese_vacancy_button
U+1F234	japanese_passing_grade_button
U+1F235	japanese_no_vacancy_button
U+1F236	japanese_not_free_of_charge_button
U+1F237	japanese_monthly_amount_button
U+1F238	japanese_application_button
U+1F239	japanese_discount_button
U+1F23A	japanese_open_for_business_button
U+1F250	japanese_bargain_button
U+1F251	japanese_acceptable_button
U+1F300	cyclone
U+1F301	foggy
U+1F302	closed_umbrella
U+1F303	night_with_stars
U+1F304	sunrise_over_mountains
U+1F305	sunrise
U+1F306	cityscape_at_dusk
U+1F307	sunset
U+1F308	rainbow
U+1F309	bridge_at_night
U+1F30A	water_wave
U+1F30B	volcano
U+1F30C	milky_way
U+1F30D	globe_showing_europe_africa
U+1F30E	globe_showing_americas
U+1F30F	globe_showing_asia_australia
U+1F310	globe_with_meridians
U+1F311	new_moon
U+1F312	waxing_crescent_moon
U+1F313	first_quarter_moon
U+1F314	waxing_gibbous_moon
U+1F315	full_moon
U+1F316	waning_gibbous_moon
U+1F317	last_quarter_moon
U+1F318	waning_crescent_moon
U+1F31A	new_moon_face
U+1F31D	full_moon_face
U+1F31E	sun_with_face
U+1F320	shooting_star
U+1F321	thermometer
U+1F325	sun_behind_large_cloud
U+1F326	sun_behind_rain_cloud
U+1F32A	tornado
U+1F32C	wind_face
U+1F32D	hot_dog
U+1F32F	burrito
U+1F330	chestnut
U+1F331	seedling
U+1F332	evergreen_tree
U+1F333	deciduous_tree
U+1F334	palm_tree
U+1F335	cactus
U+1F336	hot_pepper
U+1F33B	sunflower
U+1F33D	ear_of_corn
U+1F33E	sheaf_of_rice
U+1F33F	herb
U+1F340	four_leaf_clover
U+1F341	maple_leaf
U+1F342	fallen_leaf
U+1F343	leaf_fluttering_in_wind
U+1F344	mushroom
U+1F345	tomato
U+1F346	eggplant
U+1F347	grapes
U+1F348	melon
U+1F349	watermelon
U+1F34A	tangerine
U+1F34B	lemon
U+1F34C	banana
U+1F34D	pineapple
U+1F34E	red_apple
U+1F34F	green_apple
U+1F350	pear
U+1F351	peach
U+1F352	cherries
U+1F353	strawberry
U+1F354	hamburger
U+1F355	pizza
U+1F356	meat_on_bone
U+1F357	poultry_leg
U+1F358	rice_cracker
